epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,631.805,0.71898,3.35645,1.1396,0.42373,0.42757,0.42644,0.33235,0.88191,3.15727,1.18444,0.00331066,0.00331066,0.0702041
2,1536.5,0.5817,1.98876,1.02923,0.69729,0.76224,0.79811,0.63577,0.77978,2.00683,1.11534,0.00335522,0.00335522,0.0369153
